title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Holly Jolly Christmas Citrus Cocktail,{'minutes': '5'},-,{'minutes': '5'},"['vodka', 'St. Germain (elderflower liquor)', 'fresh squeezed clementine or blood orange juice', 'ginger beer, for topping', 'pomegranate arils, for topping', 'sprig fresh thyme or mint', 'vodka', 'St. Germain (elderflower liquor)', 'fresh squeezed clementine or blood orange juice', 'ginger beers', 'fresh thyme sprigs or mint leaves', 'arils from 1 pomegranate']","{'vodka': '1', 'St. Germain (elderflower liquor)': '1/2', 'fresh squeezed clementine or blood orange juice': '1 1/2', 'ginger beer, for topping': 'seasoning', 'pomegranate arils, for topping': 'seasoning', 'sprig fresh thyme or mint': '1', 'ginger beers': '2', 'fresh thyme sprigs or mint leaves': '4', 'arils from 1 pomegranate': '1'}","['1. Fill a cocktail glass with ice.\xa0Add\xa0the vodka, elderflower liquor (if using), and clementine juice. Top with ginger beer. Add the pomegranates and thyme or mint. Enjoy!', 'Add', 'the vodka, elderflower liquor (if using), and clementine juice. Top with ginger beer. Add the pomegranates and thyme or mint. Enjoy!']",105 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2018/12/Holy-Jolly-Christmas-Citrus-Cocktail-1-700x1050.jpg
Holiday Pear Sangria,{'minutes': '10'},-,{'minutes': '10'},"['dry white wine', 'pear or apple brandy', 'cranberry or pomegranate juice', 'apple cider', 'Royal Riviera Pears, sliced', 'blood oranges, sliced', 'fresh cranberries', 'candied ginger', 'cinnamon sticks', 'ginger beers']","{'dry white wine': '1', 'pear or apple brandy': '1/2', 'cranberry or pomegranate juice': '1/3', 'apple cider': '1', 'Royal Riviera Pears, sliced': '2', 'blood oranges, sliced': '2', 'fresh cranberries': '1', 'candied ginger': '1/4', 'cinnamon sticks': '3', 'ginger beers': '1-2'}","['1. In a large pitcher, combine all the ingredients except the ginger beer. Stir and then place in the fridge until chilled.', '2. Before serving, add the ginger beer. Fill each glass with ice and pour the sangria over the ice. If desired top with more ginger beer. Drink up!']",257 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2018/12/Holiday-Pear-Sangria-2-700x1050.jpg
Vanilla Chai Old Fashioned,{'minutes': '5'},{'minutes': '5'},{'minutes': '10'},"['chai tea bags', 'real maple syrup', 'vanilla extract', 'bourbon', 'lemon juice', 'orange bitters', 'chai tea syrup', 'sparkling water, for topping', 'cinnamon and star anise, for serving']","{'chai tea bags': '4', 'real maple syrup': '1/3', 'vanilla extract': '1', 'bourbon': '2', 'lemon juice': '1', 'orange bitters': '1', 'chai tea syrup': '1-2', 'sparkling water, for topping': 'seasoning', 'cinnamon and star anise, for serving': 'seasoning'}","['1. In a medium pot, bring 1 cup water to a boil. Remove from the heat, add the chai tea bags, cover and steep 10-15 minutes. Remove the tea bags and add the maple. Bring to a boil over high heat. Boil 3-5 minutes, then remove from the heat. Stir in the vanilla. Let cool. Keep in the fridge for up to 2 weeks.']",547 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2018/11/Vanilla-Chai-Old-Fashioned-3-700x1050.jpg
Spiced Cranberry Rosé Spritzers,{'minutes': '15'},{'minutes': '5'},{'minutes': '20'},"['honey', 'fresh cranberries', 'fresh rosemary, plus more for serving', 'cardamon pods or 1/2 teaspoon ground cardamom', 'rosé wine', 'elderflower liquor', 'cranberry or pomegranate juice', 'orange bitter', 'blood oranges or regular oranges, sliced', 'ginger beers, to your taste']","{'honey': '1/2', 'fresh cranberries': '2', 'fresh rosemary, plus more for serving': '2', 'cardamon pods or 1/2 teaspoon ground cardamom': '1', 'rosé wine': '1', 'elderflower liquor': '4', 'cranberry or pomegranate juice': '1/3', 'orange bitter': '2-3', 'blood oranges or regular oranges, sliced': '2', 'ginger beers, to your taste': '4-6'}","['1. To make the cranberry syrup: In a medium pot, bring 1/2 cup water, the honey, cranberries, rosemary, and cardamon to a boil over high heat. Boil 5 minutes or until the cranberries begin to burst, then remove from the heat. Let cool. Remove the rosemary and cardamon pods. If desired, strain out the cranberries.', '2. In a large pitcher, combine the cranberry syrup, rosé, elderflower liquor, cranberry juice, and orange bitters. Chill until ready to serve, up to 2 days.', '3. Add the orange slices and ginger beer just before serving. Garnish each drink with a candied rosemary (recipe below), if desired.']",694 kcal,10,https://www.halfbakedharvest.com/wp-content/uploads/2018/11/Spiced-Cranberry-Rosé-Spritzers-1-700x1050.jpg
Pumpkin Patch Punch,{'minutes': '10'},-,{'minutes': '10'},"['apple cider', 'freshly squeezed orange juice', 'freshly squeezed lemon juice', 'pumpkin butter', 'vodka', 'brandy', 'bottles ginger beer or sparkling water', 'arils from 1 pomegranate', 'thinly sliced apples', 'cinnamon sugar, for rims']","{'apple cider': '1', 'freshly squeezed orange juice': '1', 'freshly squeezed lemon juice': '1/2', 'pumpkin butter': '1/2', 'vodka': '8', 'brandy': '4', 'bottles ginger beer or sparkling water': '2', 'arils from 1 pomegranate': 'seasoning', 'thinly sliced apples': '2', 'cinnamon sugar, for rims': 'seasoning'}","['1. In a large pitcher, combine the apple cider, orange juice, lemon juice, pumpkin butter, vodka, and brandy. Chill until ready to serve.', '2. When ready to serve, add the ginger beer, pomegranate arils, and apple slices. If desired, rim glasses in cinnamon sugar, fill with ice. Pour punch into glasses.']",490 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2018/10/Pumpkin-Patch-Punch-6-700x1050.jpg
The Black Widow Smash,{'minutes': '5'},-,{'minutes': '5'},"['fresh blackberries, plus more for topping', 'fresh rosemary, plus a sprig for serving', 'Juice from half of a lemon', 'honey', 'tequila or Mezcal', 'a couple dashes of orange bitters', 'sparkling water, for topping']","{'fresh blackberries, plus more for topping': '8', 'fresh rosemary, plus a sprig for serving': '1-2', 'Juice from half of a lemon': 'seasoning', 'honey': '1-2', 'tequila or Mezcal': '1 1/2 – 2', 'a couple dashes of orange bitters': 'seasoning', 'sparkling water, for topping': 'seasoning'}","['1. In a cocktail shaker or glass jar, add blackberries, rosemary, lemon juice and honey. Muddle all of the ingredients together, squishing everything to release the juices. Add the tequila and orange bitters.', '2. Add ice to your glass and strain the drink over the ice. Top the glass with a little more ice, pour the sparkling water over, and gently stir to combine. Garnish with fresh rosemary. DRINK!']",110 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2018/10/The-Black-Widow-Smash-1-700x1050.jpg
Poison Apple Martini,{'minutes': '10'},-,{'minutes': '10'},"['Black lava salt, or coarse black sugar, for rim', 'apple cider', 'pomegranate juice', 'lemon juice', 'vodka or apple vodka', 'activated charcoal for coloring (could also use black food dye)', 'Dry ice']","{'Black lava salt, or coarse black sugar, for rim': 'seasoning', 'apple cider': '1/2', 'pomegranate juice': '2', 'lemon juice': '1', 'vodka or apple vodka': '2', 'activated charcoal for coloring (could also use black food dye)': '1/8', 'Dry ice': 'seasoning'}","['1. If desired, rim your martini glass with black lava salt or coarse black sugar.', '2. Fill a cocktail shaker with ice. Add the cider, pomegranate juice, lemon, vodka, and activated charcoal, if using. Shake to combine.', '3. Strain into prepared martini glass. Add a very, very small amount of dry ice, if desired and be sure to wait until the ice fully dissolves to drink or serve as dry ice can be dangerous if it has yet to melt.']",55 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2018/09/Poison-Apple-Martini-1-700x1050.jpg
Smashed Berry Rosè Spritz,{'minutes': '10'},-,{'minutes': '10'},"['fresh blackberries', 'fresh raspberries', 'basil leaves', 'lemon juice', 'silver tequila', 'St. Germain', 'bottle sparkling rosé, chilled', 'peaches or nectarines, sliced and cut into star shapes*']","{'fresh blackberries': '1/2', 'fresh raspberries': '1/2', 'basil leaves': '4', 'lemon juice': '1/4', 'silver tequila': '6', 'St. Germain': '4', 'bottle sparkling rosé, chilled': '1', 'peaches or nectarines, sliced and cut into star shapes*': '2'}","['In a pitcher, muddle the raspberries, blackberries, basil, and lemon juice together, squishing everything to release the juices.', '2. Add the tequila,\xa0St Germain, and rosé, stirring gently to combine. Stir in the peaches. Chill until ready to serve.', '3. Serve over ice and garnish with basil.', '4. Alternately, you can divide the drink between 6 mason jars fitted with lids and keep them chilled in a bucket filled with ice.']",211 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2018/07/Smashed-Berry-Rose-Spritz-1-1-700x1050.jpg
Frozen Watermelon Spritz,{'minutes': '5'},-,{'minutes': '5'},"['honey', 'tajin', 'Lillet Blanc', 'sparkling Rosé or Prosecco', 'frozen cubed watermelon', 'sparkling water or ginger beer', 'Lillet Blanc', 'sparkling Rosé or Prosecco', 'cubed frozen watermelon', 'sparkling water or ginger beer']","{'honey': 'seasoning', 'tajin': 'seasoning', 'Lillet Blanc': '1', 'sparkling Rosé or Prosecco': '1', 'frozen cubed watermelon': '4', 'sparkling water or ginger beer': '2-3', 'cubed frozen watermelon': '12'}","['1. The night before, cube the watermelon and freeze overnight.', '2. Rim a glass with honey, then dip in Tajin.', '3. In a blender, combine the Lillet, Rosé/Prosecco, and frozen watermelon. Add a handful of ice and blend until slushy. Add the sparkling water/ginger beer and pulse to mix. Pour into your prepared glass. Add a frozen watermelon slice. Enjoy!', 'To Make a Mocktail:\xa0omit the Lillet and Rosé/Prosecco and use 3 ounces peach, pineapple, or white grape juice, with 3 ounces apple cider (not vinegar), frozen watermelon, then ginger beer.']",173 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2024/07/Frozen-Watermelon-Spritz-1-scaled.jpg
Fig Honey Thyme Prosecco Smash,{'minutes': '10'},-,{'minutes': '10'},"['fresh figs, diced or 1 tablespoon fig preserves', 'small, ripe red plum, diced', 'elderflower liquor', 'juice from 1 lemon', 'honey, depending on your taste', 'fresh thyme leaves, plus more for garnish', 'prosecco, for topping']","{'fresh figs, diced or 1 tablespoon fig preserves': '6', 'small, ripe red plum, diced': '1', 'elderflower liquor': '2', 'juice from 1 lemon': 'seasoning', 'honey, depending on your taste': '2-4', 'fresh thyme leaves, plus more for garnish': '1', 'prosecco, for topping': 'seasoning'}","['1. Add the figs, plums, elderflower liquor, lemon juice, honey, and thyme to a cocktail shaker. Using a muddler, gently push the figs down until they release their juices and are lightly smashed. Add ice. Place the top on the shaker and shake vigorously. Strain into 2-3 glasses.', '2. Top each glass with prosecco. Garnish with figs and fresh thyme.']",241 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2017/09/Fig-Honey-Thyme-Prosecco-Smash-1.jpg
Spiced Cranberry Thyme Moscow Mule,{'minutes': '10'},{'minutes': '5'},{'minutes': '15'},"['honey', 'water', 'fresh cranberries', 'fresh thyme sprigs', 'fresh ginger, sliced', 'cardamom pods', 'vodka', 'juice from 1/2 of a lime', 'pomegranate or cranberry juice', 'spiced cranberry syrup', 'ginger beer, for topping', 'honey', 'water', 'fresh cranberries', 'fresh ginger, sliced', 'cardamom pods', 'fresh thyme', 'vodka', 'lime juice', 'pomegranate or cranberry juice', 'spiced cranberry syrup', 'ginger beer, for topping']","{'honey': '1/2', 'water': '1/2', 'fresh cranberries': '2', 'fresh thyme sprigs': '2', 'fresh ginger, sliced': '1', 'cardamom pods': '1', 'vodka': '1', 'juice from 1/2 of a lime': 'seasoning', 'pomegranate or cranberry juice': '1', 'spiced cranberry syrup': 'seasoning', 'ginger beer, for topping': '4', 'fresh thyme': '2', 'lime juice': '1/2'}","['1. To make the cranberry syrup. In a pot, bring 1/2 cup water, the honey, cranberries, ginger, and cardamom to a boil over high heat. Boil 5 minutes or until the cranberries begin to burst, then remove from the heat. Stir in the thyme. Let cool. Remove the ginger, cardamom, and thyme. I prefer to leave the cranberries in, but you can strain those out if desired.', '3. Fill a cocktail glass with ice.', '2. Combine the vodka, lime juice, pomegranate juice, and cranberry syrup in a cocktail shaker. Fill with ice and shake until combined, about 1 minute. Strain into your prepared glass. Top with ginger beer. Enjoy!']",235 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2022/11/Spiced-Cranberry-Thyme-Moscow-Mule-1.jpg
Basil Smash Piña Colada,{'minutes': '10'},-,{'minutes': '10'},"['limes, quartered', 'fresh basil or mint leaves', 'white rum', 'dark rum', 'fresh or frozen pineapple chunks', 'canned coconut cream', 'zest of 1 lime', 'granulated sugar', 'flaky sea salt']","{'limes, quartered': '4', 'fresh basil or mint leaves': '3/4', 'white rum': '8', 'dark rum': '2', 'fresh or frozen pineapple chunks': '3 1/2', 'canned coconut cream': '1', 'zest of 1 lime': 'seasoning', 'granulated sugar': '2', 'flaky sea salt': 'seasoning'}","['1. To make the lime sugar. Combine the lime zest, sugar, and a pinch of salt on a shallow plate. Rim your glasses in sugar.', '2. In a cocktail shaker or glass jar, muddle the lime juice, basil (or mint), and 1-2 tablespoons lime sugar (if using) together, squashing everything to release the juices. Add the white rum and dark rum. Fill with ice and shake until combined. Strain into a blender.', '3. To the blender, add the pineapple chunks and coconut cream, blend until smooth. Add 3 cups ice and blend until ""frozen"". Pour into your prepared glasses. Finish with a sprinkle of lime sugar and fresh basil. If you have a paper drink umbrella, add that too. Enjoy immediately.']",497 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2020/05/Basil-Smash-Piña-Colada-4-700x1050.jpg
Creamy Coconut Lime Mojito,{'minutes': '5'},-,{'minutes': '5'},"['lime, quartered', 'fresh mint leaves', 'granulated sugar', 'white rum', 'coconut rum', 'canned full fat coconut milk', 'ginger beer', 'zest of 1 lime', 'granulated sugar', 'flaky sea salt', 'limes, quartered', 'fresh mint leaves', 'granulated sugar', 'white rum', 'coconut rum', 'canned full fat coconut milk', 'ginger beer', 'zest of 1 lime', 'granulated sugar', 'flaky sea salt']","{'lime, quartered': '1', 'fresh mint leaves': '1/2', 'granulated sugar': '2', 'white rum': '4', 'coconut rum': '2', 'canned full fat coconut milk': '1', 'ginger beer': '2-3', 'zest of 1 lime': 'seasoning', 'flaky sea salt': 'seasoning', 'limes, quartered': '4'}","['1. To make the lime sugar. Combine the lime zest, sugar, and a pinch of salt on a shallow plate. Rim your glasses in sugar, then fill with ice.', '2. In a cocktail shaker or glass jar, muddle the lime, mint, and sugar (if using) together, squashing everything to release the juices. Add the white rum and coconut rum. Fill with ice and shake until combined. Add the coconut milk and shake.', '3. Strain into your prepared glass. Slowly top with ginger beer, then gently stir to combine. Enjoy immediately.', '4. Mocktail:\xa0Replace the white rum and coconut rum with 1 1/2 ounces of apple cider or apple juice.']",480 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2020/04/Creamy-Coconut-Lime-Mojito-1-700x1050.jpg
Spicy Sweet Grinch Cocktail,{'minutes': '5'},-,{'minutes': '5'},"['granulated sugar', 'finely chopped fresh mint leaves, plus more for serving', 'vodka', 'juice from 1/2 lime juice', 'juice from 1/2 of a small grapefruit', 'honey', 'jalapeño slices', 'ginger beer', 'pomegranate arils, for serving', 'granulated sugar', 'fresh mint leaves, finely chopped, plus more for serving', 'vodka', 'lime juice (about 4-6 limes)', 'grapefruit (about 3 grapefruits)', 'honey', 'jalapeño, sliced, to your taste', 'ginger beers, for topping', 'pomegranate arils, for serving']","{'granulated sugar': '1/2', 'finely chopped fresh mint leaves, plus more for serving': '2-4', 'vodka': '2', 'juice from 1/2 lime juice': 'seasoning', 'juice from 1/2 of a small grapefruit': 'seasoning', 'honey': '1/4', 'jalapeño slices': '1-2', 'ginger beer': 'seasoning', 'pomegranate arils, for serving': 'seasoning', 'fresh mint leaves, finely chopped, plus more for serving': '1/4', 'lime juice (about 4-6 limes)': '1', 'grapefruit (about 3 grapefruits)': '1 1/2', 'jalapeño, sliced, to your taste': '1-2', 'ginger beers, for topping': '4'}","['1.\xa0On a shallow plate, combine the sugar and mint. Rim your glass in sugar, then fill with ice.', '2. Combine the vodka, lime juice, grapefruit juice, honey, and jalapeños in a cocktail shaker. Fill with ice and shake until combined, about 1 minute. Strain into your prepared glass. Top with ginger beer and garnish as desired. Enjoy!']",564 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2019/12/The-Spicy-Sweet-Grinch-Cocktail-1-700x1050.jpg
Fig Dark and Stormy,{'minutes': '5'},-,{'minutes': '5'},"['fig preserves', 'dark rum', 'juice of 1/2 a lemon', 'ginger beer', 'fresh figs and thyme, for serving']","{'fig preserves': '1', 'dark rum': '2', 'juice of 1/2 a lemon': 'seasoning', 'ginger beer': '3', 'fresh figs and thyme, for serving': 'seasoning'}","['1. In a cocktail shaker, combine the fig preserves, bourbon, and lemon juice. Shake to combine.', '2. Strain into a glass filled with ice. Top off with ginger beer and garnish with fresh figs and thyme. DRINK!']",56 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2019/09/Fig-Dark-and-Stormy-1-700x1050.jpg
Orange Pineapple Moscow Mule,{'minutes': '5'},{'minutes': '5'},{'minutes': '5'},"['vodka', 'juice from 1/2 lime juice', 'Florida’s Natural® Brand Orange Juice', 'pineapple juice – no sugar added', 'ginger beer, for topping', 'pineapple wedges, and fresh mint, for serving', 'vodka', 'juice of 2 limes (about 1/2 cup)', 'Florida’s Natural® Brand Orange Juice', 'pineapple juice – no sugar added', 'ginger beer, for topping', 'pineapple wedges and fresh mint, for topping']","{'vodka': '1', 'juice from 1/2 lime juice': 'seasoning', 'Florida’s Natural® Brand Orange Juice': '1 1/3', 'pineapple juice – no sugar added': '1 1/3', 'ginger beer, for topping': 'seasoning', 'pineapple wedges, and fresh mint, for serving': 'seasoning', 'juice of 2 limes (about 1/2 cup)': 'seasoning', 'pineapple wedges and fresh mint, for topping': 'seasoning'}","['1. Fill a cocktail glass with ice. Add the vodka, lime juice, orange juice, and pineapple juice. Stir to combine. Top off with ginger beer. Garnish with pineapple wedges and fresh mint. DRINK.']",123 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Orange-Pineapple-Moscow-Mule-1-700x1050.jpg
Frozen Brunch Punch,{'minutes': '10'},-,{'minutes': '10'},"['orange juice', 'campari', 'white rum', 'lime juice', 'fresh or frozen pineapple chunks', 'fresh ginger, grated', 'ice', 'limes, pineapple slices, and edible flowers, for serving']","{'orange juice': '2 1/2', 'campari': '2', 'white rum': '1', 'lime juice': '1/2', 'fresh or frozen pineapple chunks': '1', 'fresh ginger, grated': '1', 'ice': 'seasoning', 'limes, pineapple slices, and edible flowers, for serving': 'seasoning'}","['1. In a large pitcher, combine the orange juice, campari, rum, and lime juice. Chill until ready to serve.', '2. When read to serve, transfer the drink to a blender. Add the pineapple chunks, ginger, and enough ice to come halfway up the blender. Pulse until smooth. If needed, add ice to get a slushy\xa0constancy.', 'ulse until smooth. If needed, add ice to get a', 'constancy.', '3. Pour into glasses and garnish as desired. Drink!']",284 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2018/05/Frozen-Brunch-Punch-1-700x1050.jpg
The North Pole.,{'minutes': '15'},-,{'minutes': '15'},"['vodka', 'Kahlúa', 'chocolate syrup', 'vanilla extract', 'molasses', 'ginger', 'heavy cream or whole milk', 'whipped cream']","{'vodka': '4', 'Kahlúa': '2', 'chocolate syrup': '4', 'vanilla extract': '1', 'molasses': '3', 'ginger': '1/8', 'heavy cream or whole milk': '1/2', 'whipped cream': 'seasoning'}","['In a cocktail shaker combine the vodka, Kahlúa, chocolate syrup, vanilla, molasses, and ginger. Shake until well combined. Add ice and shake again. Strain into 4 glasses. Top off each glass with heavy cream. Dollop with whipped cream and garnish as desired.  DRINK!']",480 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2016/11/The-North-Pole-1.jpg
Blackberry Bourbon Smash.,{'minutes': '5'},-,{'minutes': '5'},"['granulated sugar - for the rim of the glasses', 'zest from 1 lime - again', 'fresh blackberries', 'mint', 'juice from half a lemon', 'honey', 'bourbon', 'ginger beer']","{'granulated sugar - for the rim of the glasses': 'seasoning', 'zest from 1 lime - again': 'seasoning', 'fresh blackberries': '8', 'mint': '7', 'juice from half a lemon': 'seasoning', 'honey': '1-2', 'bourbon': '2', 'ginger beer': 'seasoning'}",[],491 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2016/08/Blackberry-Bourbon-Smash-3.jpg
The Goblet of Fire,{'minutes': '5'},-,{'minutes': '5'},"['blackberries', 'gold rum', 'bitters', 'honey', 'fresh rosemary', 'splash of 151 proof rum']","{'blackberries': '6', 'gold rum': '2', 'bitters': '2', 'honey': '1 – 2', 'fresh rosemary': '1-2', 'splash of 151 proof rum': 'seasoning'}","['1. Combine the blackberries, rum, bitters, honey, and rosemary in a cocktail shaker.\xa0Muddle, squishing the berries to release the juices.\xa0Add ice and shake to combine.', '2. Strain into a goblet or wine glass. Top with a splash of 151 proof spiced rum. Then using a lighter, light the drink on fire. You can sprinkle with cinnamon to ignite sparks.', '3. Blow the flame out, then add a cube of ice to chill. Drink!']",262064 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2021/10/The-Goblet-of-Fire-Cocktail-1.jpg
White Tea and Muddled Basil Mojito,{'minutes': '5'},{'minutes': '5'},{'minutes': '10'},"['white tea bags', 'honey', 'limes', 'handful of fresh mint leaves, plus more for garnish', 'handful of fresh basil leaves, plus more for garnish', 'ice cubes', 'white rum', 'sparkling water']","{'white tea bags': '2', 'honey': '2', 'limes': '2', 'handful of fresh mint leaves, plus more for garnish': 'seasoning', 'handful of fresh basil leaves, plus more for garnish': 'seasoning', 'ice cubes': 'seasoning', 'white rum': '2', 'sparkling water': '1/2'}","['1. Bring 1 cup water to a boil in a small pot over high heat. Remove the pot from the heat. Add the tea bags, cover, and steep for 3 minutes. Discard the tea bags and stir in the honey. Let cool to room temperature.', '2. Meanwhile, cut one lime into quarters. In each of two high ball glasses, muddle two lime wedges, half the mint, and half the basil. Squeeze the juice from the remaining lime into each glass. Add a few large ice cubes, 1 ounce rum, 1/4 cup brewed tea, and 1/4 cup sparkling water. Stir, then garnish with mint and basil sprigs.']",87 kcal,2,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/White-Tea-and-Muddled-Basil-Mojito-2-700x1050.jpg
-,-,-,-,-,-,-,-,-,https://www.halfbakedharvest.com/wp-content/uploads/2020/10/Ginger-Apple-Moscow-Mule-1.jpg
